service_id,date,exception_type
C22394ASZYM-0011,20201128,1
C22394ASZYM-0011,20201205,1
C22394ASZYM-0011,20201219,1
C22394ASZYM-0011,20201224,1
C22395AVVYM-0011,20201108,1
C22395AVVYM-0011,20201115,1
C22395AVVYM-0011,20201122,1
C22395AVVYM-0011,20201129,1
C22395AVVYM-0011,20201206,1
C22395AVVYM-0011,20201213,1
C22395AVVYM-0011,20201220,1
C22395AVVYM-0011,20201225,1
C22395AVVYM-0011,20201227,1
C22398AHCKG-1021,20201109,1
C22398AHCKG-1021,20201110,1
C22398AHCKG-1021,20201111,1
C22398AHCKG-1021,20201112,1
C22398AHCKG-1021,20201116,1
C22398AHCKG-1021,20201117,1
C22398AHCKG-1021,20201118,1
C22398AHCKG-1021,20201119,1
C22398AHCKG-1021,20201123,1
C22398AHCKG-1021,20201124,1
C22398AHCKG-1021,20201125,1
C22398AHCKG-1021,20201126,1
C22398AHCKG-1021,20201130,1
C22398AHCKG-1021,20201201,1
C22398AHCKG-1021,20201202,1
C22398AHCKG-1021,20201203,1
C22398AHCKG-1021,20201207,1
C22398AHCKG-1021,20201208,1
C22398AHCKG-1021,20201209,1
C22398AHCKG-1021,20201210,1
C22398AHCKG-1021,20201211,1
C22398AHCKG-1021,20201214,1
C22398AHCKG-1021,20201215,1
C22398AHCKG-1021,20201216,1
C22398AHCKG-1021,20201217,1
C22398AHCKG-1021,20201221,1
C22398AHCKG-1021,20201222,1
C22398AHCKG-1021,20201228,1
C22398AHCKG-1021,20201229,1
C22398AHCKG-1021,20201230,1
C22402AHCKG-1021,20201109,1
C22402AHCKG-1021,20201110,1
C22402AHCKG-1021,20201111,1
C22402AHCKG-1021,20201112,1
C22402AHCKG-1021,20201116,1
C22402AHCKG-1021,20201117,1
C22402AHCKG-1021,20201118,1
C22402AHCKG-1021,20201119,1
C22402AHCKG-1021,20201123,1
C22402AHCKG-1021,20201124,1
C22402AHCKG-1021,20201125,1
C22402AHCKG-1021,20201126,1
C22402AHCKG-1021,20201130,1
C22402AHCKG-1021,20201201,1
C22402AHCKG-1021,20201202,1
C22402AHCKG-1021,20201203,1
C22402AHCKG-1021,20201207,1
C22402AHCKG-1021,20201208,1
C22402AHCKG-1021,20201209,1
C22402AHCKG-1021,20201210,1
C22402AHCKG-1021,20201211,1
C22402AHCKG-1021,20201214,1
C22402AHCKG-1021,20201215,1
C22402AHCKG-1021,20201216,1
C22402AHCKG-1021,20201217,1
C22402AHCKG-1021,20201221,1
C22402AHCKG-1021,20201222,1
C22402AHCKG-1021,20201228,1
C22402AHCKG-1021,20201229,1
C22402AHCKG-1021,20201230,1
C22403AVCIGy-081,20201108,1
C22403AVCIGy-081,20201109,1
C22403AVCIGy-081,20201110,1
C22403AVCIGy-081,20201111,1
C22403AVCIGy-081,20201112,1
C22403AVCIGy-081,20201115,1
C22403AVCIGy-081,20201116,1
C22403AVCIGy-081,20201117,1
C22403AVCIGy-081,20201118,1
C22403AVCIGy-081,20201119,1
C22403AVCIGy-081,20201122,1
C22403AVCIGy-081,20201123,1
C22403AVCIGy-081,20201124,1
C22403AVCIGy-081,20201125,1
C22403AVCIGy-081,20201126,1
C22403AVCIGy-081,20201129,1
C22403AVCIGy-081,20201130,1
C22403AVCIGy-081,20201201,1
C22403AVCIGy-081,20201202,1
C22403AVCIGy-081,20201203,1
C22403AVCIGy-081,20201206,1
C22403AVCIGy-081,20201207,1
C22403AVCIGy-081,20201208,1
C22403AVCIGy-081,20201209,1
C22403AVCIGy-081,20201210,1
C22403AVCIGy-081,20201213,1
C22403AVCIGy-081,20201214,1
C22403AVCIGy-081,20201215,1
C22403AVCIGy-081,20201216,1
C22403AVCIGy-081,20201217,1
C22403AVCIGy-081,20201220,1
C22403AVCIGy-081,20201221,1
C22403AVCIGy-081,20201225,1
C22403AVCIGy-081,20201226,1
C22406APPKG-1021,20201113,1
C22406APPKG-1021,20201120,1
C22406APPKG-1021,20201127,1
C22406APPKG-1021,20201204,1
C22406APPKG-1021,20201212,1
C22406APPKG-1021,20201218,1
C22406APPKG-1021,20201223,1
C22406APPKG-1021,20201231,1
C22406APPKG-1021,20210101,1
C22409AHCIGy-021,20201109,1
C22409AHCIGy-021,20201110,1
C22409AHCIGy-021,20201111,1
C22409AHCIGy-021,20201112,1
C22409AHCIGy-021,20201116,1
C22409AHCIGy-021,20201117,1
C22409AHCIGy-021,20201118,1
C22409AHCIGy-021,20201119,1
C22409AHCIGy-021,20201123,1
C22409AHCIGy-021,20201124,1
C22409AHCIGy-021,20201125,1
C22409AHCIGy-021,20201126,1
C22409AHCIGy-021,20201130,1
C22409AHCIGy-021,20201201,1
C22409AHCIGy-021,20201202,1
C22409AHCIGy-021,20201203,1
C22409AHCIGy-021,20201207,1
C22409AHCIGy-021,20201208,1
C22409AHCIGy-021,20201209,1
C22409AHCIGy-021,20201210,1
C22409AHCIGy-021,20201211,1
C22409AHCIGy-021,20201214,1
C22409AHCIGy-021,20201215,1
C22409AHCIGy-021,20201216,1
C22409AHCIGy-021,20201217,1
C22409AHCIGy-021,20201221,1
C22409AHCIGy-021,20201222,1
C22410APPIGy-021,20201113,1
C22410APPIGy-021,20201120,1
C22410APPIGy-021,20201127,1
C22410APPIGy-021,20201204,1
C22410APPIGy-021,20201218,1
C22410APPIGy-021,20210101,1
C22416APPKG-1021,20201113,1
C22416APPKG-1021,20201120,1
C22416APPKG-1021,20201127,1
C22416APPKG-1021,20201204,1
C22416APPKG-1021,20201212,1
C22416APPKG-1021,20201218,1
C22416APPKG-1021,20201223,1
C22416APPKG-1021,20201231,1
C22416APPKG-1021,20210101,1
C22427RAAPPJOP-031,20201113,1
C22429RAAPPJOP-011,20201113,1
C22430RKAPPYM-0011,20201212,1
C22431RA1PPSZU-021,20201113,1
C22433AHHBR-0011,20201109,1
C22433AHHBR-0011,20201116,1
C22433AHHBR-0011,20201123,1
C22433AHHBR-0011,20201130,1
C22433AHHBR-0011,20201207,1
C22433AHHBR-0011,20201214,1
C22433AHHBR-0011,20201221,1
C22434AKCBR-0011,20201110,1
C22434AKCBR-0011,20201111,1
C22434AKCBR-0011,20201112,1
C22434AKCBR-0011,20201117,1
C22434AKCBR-0011,20201118,1
C22434AKCBR-0011,20201119,1
C22434AKCBR-0011,20201124,1
C22434AKCBR-0011,20201125,1
C22434AKCBR-0011,20201126,1
C22434AKCBR-0011,20201201,1
C22434AKCBR-0011,20201202,1
C22434AKCBR-0011,20201203,1
C22434AKCBR-0011,20201208,1
C22434AKCBR-0011,20201209,1
C22434AKCBR-0011,20201210,1
C22434AKCBR-0011,20201211,1
C22434AKCBR-0011,20201215,1
